Episode,Total Reward,Epsilon,Replay Buffer Size,Learn Step Counter,Times
204,601.0,0.1,27968,111404,2025-04-02 01:40:16
205,1201.0,0.1,28096,112100,2025-04-02 01:40:35
206,607.0,0.1,28224,112372,2025-04-02 01:40:42
207,248.0,0.1,28224,112492,2025-04-02 01:40:45
208,298.0,0.1,28224,112620,2025-04-02 01:40:48
209,616.0,0.1,28352,112916,2025-04-02 01:40:56
210,1427.0,0.1,28608,113920,2025-04-02 01:41:22
211,1183.0,0.1,28736,114656,2025-04-02 01:41:42
212,657.0,0.1,28864,115024,2025-04-02 01:41:52
213,290.0,0.1,28864,115160,2025-04-02 01:41:55
214,905.0,0.1,28992,115628,2025-04-02 01:42:09
215,588.0,0.1,29184,116228,2025-04-02 01:42:25
216,1441.0,0.1,29312,116948,2025-04-02 01:42:44
217,963.0,0.1,29504,117556,2025-04-02 01:43:01
218,249.0,0.1,29504,117684,2025-04-02 01:43:04
219,239.0,0.1,29568,117828,2025-04-02 01:43:08
220,241.0,0.1,29568,117956,2025-04-02 01:43:12
221,679.0,0.1,29696,118348,2025-04-02 01:43:22
222,658.0,0.1,29760,118584,2025-04-02 01:43:29
223,1443.0,0.1,29952,119280,2025-04-02 01:43:43
224,1642.0,0.1,30272,120768,2025-04-02 01:44:13
225,739.0,0.1,30464,121332,2025-04-02 01:44:28
226,630.0,0.1,30528,121660,2025-04-02 01:44:36
227,230.0,0.1,30528,121804,2025-04-02 01:44:40
228,661.0,0.1,30592,122064,2025-04-02 01:44:47
229,294.0,0.1,30656,122188,2025-04-02 01:44:50
230,605.0,0.1,30720,122504,2025-04-02 01:44:59
231,1111.0,0.1,30912,123368,2025-04-02 01:45:22
232,668.0,0.1,31040,123708,2025-04-02 01:45:31
233,251.0,0.1,31040,123832,2025-04-02 01:45:34
234,875.0,0.1,31232,124400,2025-04-02 01:45:52
235,1174.0,0.1,31424,125368,2025-04-02 01:46:18
236,961.0,0.1,31616,126016,2025-04-02 01:46:36
237,1848.0,0.1,31808,126876,2025-04-02 01:47:00
238,1253.0,0.1,32000,127500,2025-04-02 01:47:17
239,791.0,0.1,32128,128152,2025-04-02 01:47:35
240,238.0,0.1,32192,128288,2025-04-02 01:47:39
241,2106.0,0.1,32384,129168,2025-04-02 01:48:04
242,279.0,0.1,32448,129312,2025-04-02 01:48:08
243,655.0,0.1,32512,129596,2025-04-02 01:48:17
244,611.0,0.1,32576,129968,2025-04-02 01:48:29
245,634.0,0.1,32704,130292,2025-04-02 01:48:39
246,1334.0,0.1,32832,130952,2025-04-02 01:48:59
247,617.0,0.1,32960,131328,2025-04-02 01:49:09
248,607.0,0.1,33088,131940,2025-04-02 01:49:26
249,296.0,0.1,33088,132064,2025-04-02 01:49:29
250,960.0,0.1,33280,132744,2025-04-02 01:49:48
251,232.0,0.1,33344,132880,2025-04-02 01:49:52
252,1288.0,0.1,33472,133500,2025-04-02 01:50:09
253,295.0,0.1,33536,133620,2025-04-02 01:50:12
254,831.0,0.1,33664,134192,2025-04-02 01:50:28
255,243.0,0.1,33664,134316,2025-04-02 01:50:31
256,611.0,0.1,33728,134612,2025-04-02 01:50:39
257,680.0,0.1,33856,134916,2025-04-02 01:50:48
258,1147.0,0.1,33984,135432,2025-04-02 01:51:01
259,234.0,0.1,33984,135596,2025-04-02 01:51:06
260,730.0,0.1,34112,135940,2025-04-02 01:51:15
261,1211.0,0.1,34240,136580,2025-04-02 01:51:31
